Day,Time,Division,Subject,Faculty
MONDAY,8:45 - 9:45,ALL,KDR,RBT
TUESDAY,8:45 - 9:45,ALL,AIR,VW
WEDNESDAY,8:45 - 9:45,RA1,AIR lab,SS
WEDNESDAY,9:45-10:45,RA1,AIR lab,SS
WEDNESDAY,8:45 - 9:45,RA2,RCS lab,JKS
WEDNESDAY,9:45-10:45,RA2,RCS lab,JKS
WEDNESDAY,8:45 - 9:45,RA3,KDR lab,RBT
WEDNESDAY,9:45-10:45,RA3,KDR lab,RBT
THURSDAY,8:45 - 9:45,ALL,RCS,JKS
FRIDAY,8:45 - 9:45,ALL,HPR,RK
EVEN SAT,8:45 - 9:45,ALL,Remedial Class,
ODD SAT,8:45 - 9:45,ALL,Service Learning,
MONDAY,9:45-10:45,ALL,HPR,RK
TUESDAY,9:45-10:45,ALL,ELH,
THURSDAY,9:45-10:45,RA1,KDR lab,RBT
THURSDAY,10:45-11:45,RA1,KDR lab,RBT
THURSDAY,9:45-10:45,RA2,HPR lab,PN
THURSDAY,10:45-11:45,RA2,HPR lab,PN
THURSDAY,9:45-10:45,RA3,AIR lab,SS
THURSDAY,10:45-11:45,RA3,AIR lab,SS
FRIDAY,9:45-10:45,ALL,RCS,JKS
MONDAY,10:45-11:45,ALL,AMR,PB
TUESDAY,10:45-11:45,RA1,RCS Lab,JKS
TUESDAY,11:45-12:45,RA1,RCS Lab,JKS
TUESDAY,10:45-11:45,RA2,KDR lab(RBT),PS
TUESDAY,11:45-12:45,RA2,KDR lab(RBT),PS
TUESDAY,10:45-11:45,RA3,HPR lab,CS
TUESDAY,11:45-12:45,RA3,HPR lab,CS
WEDNESDAY,10:45-11:45,ALL,AMR,PB
FRIDAY,10:45-11:45,ALL,ELH,
MONDAY,11:45-12:45,ALL,Mentor Mentee,
WEDNESDAY,11:45-12:45,ALL,HPR,RK
THURSDAY,11:45-12:45,ALL,AMR,PB
FRIDAY,11:45-12:45,ALL,KDR,RBT
MONDAY,12:45-1:40,ALL,Lunch Break,
MONDAY,1:40-2:35,ALL,FOE,TD
TUESDAY,1:40-2:35,ALL,KDR,RBT
WEDNESDAY,1:40-2:35,ALL,AIR,VW
THURSDAY,1:40-2:35,ALL,EV,PW
FRIDAY,1:40-2:35,RA1,HPR lab,PN
FRIDAY,2:35-3:30,RA1,HPR lab,PN
FRIDAY,1:40-2:35,RA2,RCS lab,JKS
FRIDAY,2:35-3:30,RA2,RCS lab,JKS
FRIDAY,1:40-2:35,RA3,SL lab,AN
FRIDAY,2:35-3:30,RA3,SL lab,AN
EVEN SAT,1:40-2:35,ALL,Remedial Class,
ODD SAT,1:40-2:35,ALL,Service Learning,
MONDAY,2:35-3:30,ALL,IIP,TD
TUESDAY,2:35-3:30,RA1,SL lab RA1(AN),
TUESDAY,3:30-4:25,RA1,SL lab RA1(AN),
TUESDAY,2:35-3:30,RA2,SL lab,AN
TUESDAY,3:30-4:25,RA2,SL lab,AN
TUESDAY,2:35-3:30,RA3,RCS lab,JKS
TUESDAY,3:30-4:25,RA3,RCS lab,JKS
WEDNESDAY,2:35-3:30,RA1,SL Lab(AN),
WEDNESDAY,3:30-4:25,RA1,SL Lab(AN),
WEDNESDAY,2:35-3:30,RA2,AIR lab,SS
WEDNESDAY,3:30-4:25,RA2,AIR lab,SS
WEDNESDAY,2:35-3:30,RA3,RCS lab,JKS
WEDNESDAY,3:30-4:25,RA3,RCS lab,JKS
THURSDAY,2:35-3:30,RA1,RCS lab,JKS
THURSDAY,3:30-4:25,RA1,RCS lab,JKS
THURSDAY,2:35-3:30,RA2,SL lab,AN
THURSDAY,3:30-4:25,RA2,SL lab,AN
THURSDAY,2:35-3:30,RA3,SL lab,AN
THURSDAY,3:30-4:25,RA3,SL lab,AN
MONDAY,3:30-4:25,ALL,SL Lab,AN
FRIDAY,3:30-4:25,ALL,SL Lab,AN
